Match,FirstPlayer,SecondPlayer,Game,Winner,Fair,FirstFighter,FirstFighter2,FirstFighter3,SecondFighter,SecondFighter2,SecondFighter3
25,FallenGameR,Pobeditel,Tekken 7,Pobeditel,true,King,,,King,,,
26,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Nina Williams,,,Armor King,,,
27,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Feng Wei,,,King,,,
28,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,King,,,Devil Jin,,,
29,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Miguel,,,Josie Rizal,,,
30,FallenGameR,Pobeditel,Tekken 7,Pobeditel,true,Paul Phoenix,,,Jack-7,,,
31,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Anna Williams,,,Kazumi Mishima,,,
32,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Katarina Alves,,,Leo,,,
33,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Lei Wulong,,,Hwoarang,,,
34,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Lei Wulong,,,Marshall Law,,,
35,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Nina Williams,,,Lei Wulong,,,
36,FallenGameR,Pobeditel,Tekken 7,Pobeditel,true,Asuka Kazama,,,Eddy Gordo,,,
37,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Eliza,,,Noctis Lucis,,,
38,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Nina Williams,,,Steve Fox,,,
39,FallenGameR,Pobeditel,Tekken 7,Pobeditel,true,Yoshimitsu,,,Asuka Kazama,,,
40,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Asuka Kazama,,,Bryan Fury,,,
41,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Paul Phoenix,,,Master Raven,,,
42,FallenGameR,Pobeditel,Tekken 7,Pobeditel,true,Shaheen,,,Bob,,,
43,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Bryan Fury,,,Lee Chaolan,,,
44,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Hwoarang,,,Claudio Serafino,,,
45,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Master Raven,,,Marduk,,,
46,FallenGameR,Pobeditel,Tekken 7,FallenGameR,false,Kuma,,,Kazumi Mishima,,,
